standard_code,clause_code,title,text,parent_clause_code,path
ISO27001,4.1,Understanding the Organization and its Context,Determining external and internal issues relevant to ISMS purpose,,"ISO27001:4.1"
ISO27001,4.2,Understanding the Needs and Expectations of Interested Parties,Determining interested parties and their requirements,,"ISO27001:4.2"
ISO27001,4.3,Determining the Scope of the ISMS,Defining scope boundaries and applicability,,"ISO27001:4.3"
ISO27001,4.4,Information Security Management System,Establishing implementing maintaining and continually improving ISMS,,"ISO27001:4.4"
ISO27001,5.1,Leadership and Commitment,Top management demonstrates leadership and commitment,,"ISO27001:5.1"
ISO27001,5.2,Policy,Establishing information security policy,,"ISO27001:5.2"
ISO27001,5.3,Organizational Roles Responsibilities and Authorities,Assigning roles responsibilities and authorities,,"ISO27001:5.3"
ISO27001,6.1,Actions to Address Risks and Opportunities,Determining and addressing risks and opportunities,,"ISO27001:6.1"
ISO27001,6.2,Information Security Objectives,Establishing information security objectives,,"ISO27001:6.2"
ISO27001,6.3,Planning of Changes,Planning changes to the ISMS,,"ISO27001:6.3"
ISO27001,7.1,Resources,Determining and providing resources needed,,"ISO27001:7.1"
ISO27001,7.2,Competence,Ensuring persons are competent,,"ISO27001:7.2"
ISO27001,7.3,Awareness,Ensuring awareness of information security policy and objectives,,"ISO27001:7.3"
ISO27001,7.4,Communication,Planning and controlling communications,,"ISO27001:7.4"
ISO27001,7.5,Documented Information,Creating updating and controlling documented information,,"ISO27001:7.5"
ISO27001,8.1,Operational Planning and Control,Planning implementing and controlling processes,,"ISO27001:8.1"
ISO27001,8.2,Information Security Risk Assessment,Establishing information security risk assessment process,,"ISO27001:8.2"
ISO27001,8.3,Information Security Risk Treatment,Implementing information security risk treatment process,,"ISO27001:8.3"
ISO27001,9.1,Monitoring Measurement Analysis and Evaluation,Monitoring measuring analyzing and evaluating ISMS performance,,"ISO27001:9.1"
ISO27001,9.2,Internal Audit,Conducting internal audits at planned intervals,,"ISO27001:9.2"
ISO27001,9.3,Management Review,Reviewing the ISMS at planned intervals,,"ISO27001:9.3"
ISO27001,10.1,Nonconformity and Corrective Action,Handling nonconformities and taking corrective action,,"ISO27001:10.1"
ISO27001,10.2,Continual Improvement,Continually improving the suitability adequacy and effectiveness of the ISMS,,"ISO27001:10.2"
ISO27001,5.1.1,Leadership Commitment,Top management demonstrates leadership and commitment to ISMS,5.1,"ISO27001:5.1.1"
ISO27001,5.2.1,Security Policy,Establishing and maintaining information security policy,5.2,"ISO27001:5.2.1"
ISO27001,8.2.1,Risk Assessment Process,Establishing risk assessment methodology and process,8.2,"ISO27001:8.2.1"
ISO27001,8.3.1,Risk Treatment Plan,Selecting and implementing controls to treat identified risks,8.3,"ISO27001:8.3.1"

